Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3002_1x2032,1,Battery_Cell,
BZ1,L_Taiyo-Yuden_NR-50xx,1,Buzzer,
C1,0603,1,100nF,
"D1, D14, D22, D23, D3, D7",0402,6,LED_RED,
"D10, D12, D19, D25, D26, D5, D6",0402,7,LED_BLUE,
"D11, D13, D16, D18, D20, D24, D4, D9",0402,8,LED_YELLOW,
"D15, D17, D2, D21, D8",0402,5,LED_GREEN,
"GND1, RX1, TX1, VCC1",TestPoint_Pad_D2.0mm,4,TestPoint,
"R1, R2, R3, R4, R5, R6",0603,6,330,
R7,0603,1,4.7k,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny1614-SS,
