Designator,Mid X,Mid Y,Rotation,Layer
BT1,192.7,-55.5,0.0,bottom
BZ1,202.0,-74.5,0.0,bottom
C1,198.5,-68.8,270.0,bottom
D1,145.5,-55.75,0.0,top
D10,149.3,-65.41,10.0,top
D11,157.015,-66.0,0.0,top
D12,163.1,-66.75,0.0,top
D13,172.1,-64.4,11.0,top
D14,181.0,-63.0,0.0,top
D15,187.75,-64.75,0.0,top
D16,192.4,-65.5,0.0,top
D17,198.25,-65.5,0.0,top
D18,139.5,-75.5,0.0,top
D19,148.735,-75.0,0.0,top
D2,153.25,-56.25,0.0,top
D20,156.485,-74.75,0.0,top
D21,164.0,-75.75,0.0,top
D22,169.75,-76.25,0.0,top
D23,176.75,-76.5,0.0,top
D24,183.265,-76.75,0.0,top
D25,189.515,-77.75,0.0,top
D26,194.0,-76.75,0.0,top
D3,160.1,-57.3,340.0,top
D4,165.9,-58.0,0.0,top
D5,172.3,-57.6,0.0,top
D6,179.0,-57.6,0.0,top
D7,186.75,-58.5,0.0,top
D8,192.75,-58.25,3.0,top
D9,140.3,-66.6,0.0,top
R1,201.01,-68.8,270.0,bottom
R2,203.52,-68.8,270.0,bottom
R3,206.0,-68.825,270.0,bottom
R4,208.51,-68.825,270.0,bottom
R5,205.99,-64.825,270.0,bottom
R6,208.5,-64.825,270.0,bottom
R7,203.51,-64.65,270.0,bottom
SW1,194.5,-39.0,180.0,bottom
U1,202.0,-82.5,270.0,bottom
